Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
77566,Hyperion (Hyperion Cantos #1),Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.24,Bantam Spectra,Mass Market Paperback,482,1990,1989,,2014/05/28,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""""","=""""",0,3.84,Delacorte Press,Kindle Edition,242,2014,2014,,2014/05/13,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
6567017,"Will Grayson, Will Grayson",John Green,"Green, John",David Levithan,"=""0525421580""","=""9780525421580""",0,3.79,Dutton Books,Hardcover,310,2010,2010,,2014/04/25,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,"=""0062255657""","=""9780062255655""",0,4.00,William Morrow Books,Hardcover,181,2013,2013,,2014/04/25,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
19288043,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",0,4.07,Broadway Books,Paperback,415,2014,2012,,2014/04/16,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""0007524277""","=""9780007524273""",4,3.63,HarperCollins Children's Book's,Paperback,526,2013,2013,2014/04/13,2014/02/24,,,read,,,,1,,,0,,,,,
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",4,4.20,Katherine Tegen Books,Paperback,487,2012,2011,2014/04/11,2014/02/24,,,read,,,,1,,,0,,,,,
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",4,4.04,HarperCollins Children's Books,Hardcover,525,2012,2012,2014/04/12,2014/02/24,,,read,,,,1,,,0,,,,,
4703427,"Dust of Dreams (Malazan Book of the Fallen, #9)",Steven Erikson,"Erikson, Steven",,"=""0765316552""","=""9780765316554""",5,4.31,Tom Doherty Associates,Paperback,1280,2009,2009,2014/03/21,2014/02/24,,,read,,,,1,,,0,,,,,
352262,"How to Train Your Dragon (How to Train Your Dragon, #1)",Cressida Cowell,"Cowell, Cressida",,"=""0316737372""","=""9780316737371""",0,3.88,"Little, Brown Books for Young Readers",Hardcover,214,2004,2003,,2014/03/18,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",0,4.14,"Oxford University Press, USA",Paperback,360,2006,1976,,2014/03/14,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",0,4.13,Broadway Books,Paperback,246,1998,1990,,2014/03/14,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
19139573,Subliminal Messiah,Anthony David Jacques,"Jacques, Anthony David",,"=""1780994834""","=""9781780994833""",0,4.00,Perfect Edge,Paperback,180,2014,2014,,2014/03/02,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
18076805,"Untitled (A Song of Ice and Fire, #8)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",0,4.40,,,,2022,2022,,2014/02/24,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
6382055,"A Dream of Spring (A Song of Ice and Fire, #7)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",0,4.40,Harper Voyager,Hardcover,,,,,2014/02/24,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
12111823,"The Winds of Winter (A Song of Ice and Fire, #6)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",0,4.41,Harper Voyager,Hardcover,,2020,2020,,2014/02/24,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
262430,"Gregor the Overlander (Underland Chronicles, #1)",Suzanne Collins,"Collins, Suzanne",,"=""043977134X""","=""9780439771344""",0,4.01,Scholastic,Paperback,326,2005,2003,,2014/02/24,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",5,4.03,Scholastic Press,Hardcover,390,2010,2010,2011/12/27,2014/02/24,,,read,,,,1,,,0,,,,,
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",5,4.29,Scholastic Press,Hardcover,391,2009,2009,2011/12/26,2014/02/24,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.33,Scholastic Press,Hardcover,374,2008,2008,2011/12/25,2014/02/24,,,read,,,,1,,,0,,,,,
