Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
28686837,A Gambler's Anatomy,Jonathan Lethem,"Lethem, Jonathan",,"=""0385539908""","=""9780385539906""",2,3.17,Doubleday Books,Hardcover,304,2016,2016,,2017/12/14,,,read,,,,1,,,0,,,,,
168668,"Catch-22 (Catch-22, #1)",Joseph Heller,"Heller, Joseph",,"=""0684833395""","=""9780684833392""",5,3.98,Simon & Schuster ,Paperback,453,2004,1961,,2020/02/02,,,read,,,,1,,,0,,,,,
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""125009528X""","=""9781250095282""",4,4.08,Flatiron Books,Hardcover,368,2017,2017,2019/05/12,2019/05/01,,,read,,,,1,,,0,,,,,
32333322,Love & Gelato,Jenna Evans Welch,"Welch, Jenna Evans",,"=""1481432559""","=""9781481432559""",0,4.11,Simon Pulse,Paperback,400,2017,2016,,2020/02/02,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
8573020,The Weird Sisters,Eleanor Brown,"Brown, Eleanor",,"=""0399157220""","=""9780399157226""",3,3.36,Amy Einhorn Books/Putnam,Hardcover,320,2011,2011,,2020/02/02,,,read,,,,1,,,0,,,,,
50536101,The Yellow Wall-Paper: A Graphic Novel,Sara Barkat,"Barkat, Sara",Charlotte Perkins Gilman,"=""""","=""9781943120390""",0,4.88,,Paperback,114,2020,,,2020/02/02,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
50185600,Apeirogon,Colum McCann,"McCann, Colum",,"=""1400069602""","=""9781400069606""",0,4.10,Random House,Hardcover,480,2020,2020,,2020/01/31,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
25229229,Thirteen Ways of Looking,Colum McCann,"McCann, Colum",,"=""1443446254""","=""9781443446259""",4,3.97,HarperCollins Publishers,Hardcover,256,2015,2015,,2020/01/31,,,read,,,,1,,,0,,,,,
13503109,This Is How You Lose Her,Junot Díaz,"Díaz, Junot",,"=""1594487367""","=""9781594487361""",4,3.75,Riverhead Books,Hardcover,217,2012,2010,,2020/01/31,,,read,,,,1,,,0,,,,,
45754981,The Glass Hotel,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0525521143""","=""9780525521143""",0,4.09,Knopf Publishing Group,Hardcover,320,2020,2020,,2020/01/31,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
43822062,The World That We Knew,Alice Hoffman,"Hoffman, Alice",,"=""1501137573""","=""9781501137570""",0,4.25,Simon & Schuster,Hardcover,372,2019,2019,,2020/01/31,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
38322550,"The Last Emperox (The Interdependency, #3)",John Scalzi,"Scalzi, John",Wil Wheaton,"=""""","=""""",0,4.42,Audible Studios,Audible Audio,9,2020,2020,,2020/01/31,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
45992717,"The Mirror & the Light (Thomas Cromwell, #3)",Hilary Mantel,"Mantel, Hilary",,"=""0805096604""","=""9780805096606""",0,3.92,Henry Holt and Co.,Hardcover,784,2020,2020,,2020/01/31,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",0,4.54,Tinder Press,Hardcover,352,2020,2020,,2020/01/31,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
39507318,The Library Book,Susan Orlean,"Orlean, Susan",,"=""1476740186""","=""9781476740188""",0,3.94,Simon & Schuster,Hardcover,317,2018,2018,,2020/01/27,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,4.05,Saga Press,Kindle Edition,209,2019,2019,,2019/12/13,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
16130537,The Humans,Matt Haig,"Haig, Matt",,"=""1476727910""","=""9781476727912""",5,4.09,Simon  Schuster,Hardcover,285,2013,2013,,2017/10/30,favorites,favorites (#3),read,,,,2,,,0,,,,,
7307795,"Started Early, Took My Dog (Jackson Brodie, #4)",Kate Atkinson,"Atkinson, Kate",,"=""0385608020""","=""9780385608022""",4,3.91,Doubleday & Co Inc.,Hardcover,350,2010,2010,,2012/04/13,,,read,,,,2,,,0,,,,,
3289281,"When Will There Be Good News? (Jackson Brodie, #3)",Kate Atkinson,"Atkinson, Kate",,"=""0316154857""","=""9780316154857""",5,3.99,"Little, Brown and Company",Hardcover,400,2008,2008,,2012/04/13,,,read,,,,3,,,0,,,,,
217071,The New Yorkers,Cathleen Schine,"Schine, Cathleen",Leanne Shapton,"=""0374221839""","=""9780374221836""",4,3.29,"Farrar, Straus and Giroux",Hardcover,304,2007,2007,,2017/12/14,,,read,,,,2,,,0,,,,,
1914973,"The Likeness (Dublin Murder Squad, #2)",Tana French,"French, Tana",,"=""0670018864""","=""9780670018864""",5,4.06,Viking Adult,Hardcover,466,2008,2008,,2017/11/29,favorites,favorites (#49),read,,,,2,,,0,,,,,
15790842,"Life After Life (Todd Family, #1)",Kate Atkinson,"Atkinson, Kate",,"=""0316176486""","=""9780316176484""",5,3.76,Reagan Arthur Books,Hardcover,531,2013,2013,2019/11/01,2013/02/12,favorites,favorites (#7),read,,,,2,,,0,,,,,
43263680,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313074""","=""9781250313072""",5,4.13,Flatiron Books,Hardcover,459,2019,2019,2019/12/27,2019/10/19,,,read,,,,1,,,0,,,,,
38140077,Washington Black,Esi Edugyan,"Edugyan, Esi",,"=""0525521429""","=""9780525521426""",0,3.99,Knopf Publishing Group,Hardcover,334,2018,2018,,2019/12/26,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
39735213,The Body in Question,Jill Ciment,"Ciment, Jill",Hillary Huber,"=""""","=""""",3,3.64,Random House Audio,Audiobook,,2019,2019,2019/12/18,2019/06/14,,,read,,,,1,,,0,,,,,
43608928,Grand Union: Stories,Zadie Smith,"Smith, Zadie",,"=""0525558993""","=""9780525558996""",0,3.26,Penguin Press,Hardcover,246,2019,2019,,2019/12/13,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
42977510,Rabbits for Food,Binnie Kirshenbaum,"Kirshenbaum, Binnie",,"=""1641290536""","=""9781641290531""",0,3.66,Soho Press,Hardcover,384,2019,2019,,2019/12/13,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
42839296,Hollow Kingdom,Kira Jane Buxton,"Buxton, Kira Jane",,"=""1538745828""","=""9781538745823""",0,3.92,Grand Central Publishing,Hardcover,308,2019,2019,,2019/12/13,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
