Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
23126382,Of Mice and Me,Mishka Shubaly,"Shubaly, Mishka",,"=""""","=""""",0,3.80,,Kindle Edition,49,2014,2014,,2018/02/05,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
17286670,Scarcity: Why Having Too Little Means So Much,Sendhil Mullainathan,"Mullainathan, Sendhil",Eldar Shafir,"=""0805092641""","=""9780805092646""",4,3.92,Times Books,Hardcover,304,2013,2013,2017/10/08,2017/06/21,,,read,,,,1,,,0,,,,,
30633,The Four Loves,C.S. Lewis,"Lewis, C.S.",,"=""0006280897""","=""9780006280897""",0,4.14,HarperCollins Publishers Ltd,Paperback,170,2002,1960,,2018/02/05,,,read,,,,1,,,0,,,,,
17267,The Great Divorce,C.S. Lewis,"Lewis, C.S.",,"=""0006280560""","=""9790007672386""",0,4.28,HarperCollins,Paperback,160,2002,1945,,2018/02/05,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
22585891,Mademoiselle Chanel,C.W. Gortner,"Gortner, C.W.",,"=""0062356402""","=""9780062356406""",0,4.07,William Morrow,Hardcover,406,2015,2015,,2018/02/05,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
32938155,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,"Sandberg, Sheryl",Adam M. Grant,"=""0753548283""","=""9780753548288""",0,3.87,WH Allen,Paperback,240,2017,2017,2017/10/22,2017/10/08,,,read,,,,1,,,0,,,,,
33571159,"An Odyssey: A Father, a Son, and an Epic",Daniel Mendelsohn,"Mendelsohn, Daniel",,"=""0385350597""","=""9780385350594""",0,4.26,Knopf Publishing Group,Hardcover,302,2017,2017,,2017/10/08,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
34114362,What Happened,Hillary Rodham Clinton,"Clinton, Hillary Rodham",,"=""""","=""""",0,3.96,Simon & Schuster,Kindle Edition,512,2017,2017,,2017/10/08,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
227552,10 Days to Faster Reading,The Princeton Language Institute,"Institute, The Princeton Language",Abby Marks Beale,"=""0446676675""","=""9780446676670""",3,3.87,Grand Central Publishing,Paperback,206,2001,2001,2017/01/01,2017/10/08,,,read,,,,1,,,0,,,,,
30760305,Unplug: A Simple Guide to Meditation for Busy Skeptics and Modern Soul Seekers,Suze Yalof Schwartz,"Schwartz, Suze Yalof",Debra Goldstein,"=""1524749478""","=""9781524749477""",3,3.65,Books on Tape,Audio CD,,2017,,2017/01/01,2017/10/08,,,read,,,,1,,,0,,,,,
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",4,4.15,"Little, Brown and Company",Hardcover,309,2008,2008,2017/01/01,2017/10/08,,,read,,,,1,,,0,,,,,
25644973,Talking to Crazy: How to Deal with the Irrational and Impossible People in Your Life,Mark Goulston,"Goulston, Mark",,"=""0814436366""","=""9780814436363""",3,3.90,AMACOM,Hardcover,272,2015,2015,2017/01/01,2017/10/08,,,read,,,,1,,,0,,,,,
318431,Long Walk to Freedom,Nelson Mandela,"Mandela, Nelson",,"=""0316548189""","=""9780316548182""",0,4.33,Back Bay Books,Paperback,656,1995,1994,,2017/10/08,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
375013,Schindler's List,Thomas Keneally,"Keneally, Thomas",,"=""0340606517""","=""9780340606513""",0,4.35,Sceptre,Paperback,429,1994,1982,,2017/10/08,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
1387607,The Pilgrim's Progress,John Bunyan,"Bunyan, John",N.H. Keeble,"=""0192816071""","=""9780192816078""",0,4.00,"Oxford University Press, USA",Paperback,300,1984,1678,,2017/10/08,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
18405,Gone with the Wind,Margaret Mitchell,"Mitchell, Margaret",,"=""0446675539""","=""9780446675536""",0,4.29,Warner Books,Paperback,1037,1999,1936,,2017/10/08,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,"=""0571224385""","=""9780571224388""",4,4.10,Harper Perennial,Paperback,320,2009,1984,2017/07/02,2017/06/21,,,read,,,,1,,,0,,,,,
5883777,The Holy Bible: English Standard Version,Anonymous,"Anonymous, Anonymous",,"=""""","=""""",0,4.64,Good News Publishers/Crossway Books,Kindle Edition,1328,2007,2001,,2017/06/18,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
29405093,The Girl with the Lower Back Tattoo,Amy Schumer,"Schumer, Amy",,"=""1501139886""","=""9781501139888""",1,3.73,Gallery Books,Hardcover,323,2016,2016,2017/06/12,2017/06/12,,,read,,,,1,,,0,,,,,
16071764,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,"Sandberg, Sheryl",Nell Scovell,"=""0385349947""","=""9780385349949""",3,3.95,Knopf,Hardcover,217,2013,2013,2017/06/18,2017/06/13,,,read,,,,1,,,0,,,,,
16158576,Expecting Better: Why the Conventional Pregnancy Wisdom is Wrong - and What You Really Need to Know,Emily Oster,"Oster, Emily",,"=""1594204756""","=""9781594204753""",0,4.31,Penguin Press,Hardcover,336,2013,2013,,2017/06/12,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",3,4.45,Metropolitan Books,Hardcover,282,2014,2014,2017/06/12,2017/06/12,,,read,,,,1,,,0,,,,,
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",,"=""""","=""""",5,4.36,Random House,Kindle Edition,208,2016,2016,2017/05/26,2017/03/04,,,read,,,,1,,,0,,,,,
180466,Children of the Self-Absorbed: A Grown-Up's Guide to Getting over Narcissistic Parents,Nina W. Brown,"Brown, Nina W.",,"=""1572242310""","=""9781572242319""",3,3.92,New Harbinger Publications,Paperback,180,2001,2000,2017/05/11,2014/10/14,,,read,,,,1,,,0,,,,,
13589149,Every Good Endeavor: Connecting Your Work to God's Plan for the World,Timothy J. Keller,"Keller, Timothy J.",,"=""0525952705""","=""9780525952701""",3,4.30,Viking,Hardcover,288,2012,2012,2017/05/11,2017/04/02,,,read,,,,1,,,0,,,,,
